City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hobart,20,AU,1659931831,69,-42.8794,147.3294,52.27,5.75
Souillac,9,MU,1659931861,78,-20.5167,57.5167,69.91,7.99
Hong Kong,60,HK,1659931842,89,22.2855,114.1577,84.38,5.99
Kanlagay,91,PH,1659931861,66,5.8757,121.2915,84.29,4.43
Vaini,20,TO,1659931861,94,-21.2,-175.2,78.96,9.22
Iqaluit,98,CA,1659931862,86,63.7506,-68.5145,41.7,1.99
Punta Arenas,20,CL,1659931856,87,-53.15,-70.9167,35.71,8.05
Carnarvon,0,AU,1659931792,58,-24.8667,113.6333,68.11,11.7
Yulara,5,AU,1659931862,20,-25.2406,130.9889,70.86,15.64
Mataura,7,NZ,1659931863,69,-46.1927,168.8643,42.48,9.44
Kapaa,99,US,1659931277,81,22.0752,-159.319,79.12,3.0
Sault Ste. Marie,0,CA,1659931759,82,46.5168,-84.3333,62.89,0.0
Bitung,100,ID,1659931688,75,1.4451,125.1824,85.05,2.98
Esperance,31,AU,1659931338,63,-33.8667,121.9,62.67,19.19
Rikitea,100,PF,1659931864,77,-23.1203,-134.9692,70.32,36.93
Ilulissat,100,GL,1659931864,93,69.2167,-51.1,42.82,0.0
Tanabi,97,BR,1659931864,48,-20.6264,-49.6492,70.09,6.31
Grand Gaube,3,MU,1659931865,74,-20.0064,57.6608,69.39,3.0
Bethel,0,US,1659931865,89,41.3712,-73.414,79.48,0.0
Severo-Kuril'sk,50,RU,1659931865,86,50.6789,156.125,59.52,1.16
Arman',95,RU,1659931313,59,59.7,150.1667,62.64,6.71
Amapá,60,BR,1659931866,99,1.0,-52.0,69.91,2.1
Jamestown,0,US,1659931774,68,42.097,-79.2353,76.59,8.05
Puerto Carreño,64,CO,1659931151,87,6.189,-67.4859,77.4,3.85
Puerto Ayora,41,EC,1659931867,96,-0.7393,-90.3518,67.55,7.0
Kavieng,27,PG,1659931325,74,-2.5744,150.7967,83.37,12.46
Cidreira,100,BR,1659931347,94,-30.1811,-50.2056,58.64,15.64
Bredasdorp,100,ZA,1659931867,88,-34.5322,20.0403,57.29,2.98
Port Alfred,88,ZA,1659931867,99,-33.5906,26.891,57.18,1.01
Atuona,16,PF,1659931591,75,-9.8,-139.0333,76.86,15.64
Clyde River,40,CA,1659931868,89,70.4692,-68.5914,38.77,0.94
Castro,100,BR,1659931708,96,-24.7911,-50.0119,56.25,6.78
Taoudenni,2,ML,1659931868,13,22.6783,-3.9836,97.02,8.7
Cape Town,0,ZA,1659931785,88,-33.9258,18.4232,56.26,4.0
Qaanaaq,7,GL,1659931870,54,77.484,-69.3632,36.97,7.58
Biak,77,ID,1659931870,77,-0.9131,122.8766,80.17,7.34
Butaritari,92,KI,1659931870,75,3.0707,172.7902,81.7,12.15
Lagoa,18,PT,1659931871,81,39.05,-27.9833,73.2,16.98
Palmas de Monte Alto,78,BR,1659931871,67,-14.2672,-43.1619,70.18,5.55
Petropavlovsk-Kamchatskiy,20,RU,1659931871,64,53.0452,158.6483,66.79,11.18
Kabarnet,93,KE,1659931872,80,0.4919,35.743,54.75,1.74
Pringsewu,27,ID,1659931872,59,-5.3582,104.9744,87.21,2.01
Saint Paul Harbor,0,US,1659931874,52,57.79,-152.4072,63.91,5.75
Srednekolymsk,74,RU,1659931874,31,67.45,153.6833,72.9,14.36
Hilo,40,US,1659931874,80,19.7297,-155.09,83.28,6.91
Voinka,0,UA,1659931875,46,45.8699,33.9914,77.02,10.78
Noyabrsk,93,RU,1659931875,62,63.1994,75.4507,68.95,7.81
Makakilo City,40,US,1659931876,61,21.3469,-158.0858,82.72,16.11
East London,75,ZA,1659931876,100,-33.0153,27.9116,58.14,33.38
Smithers,5,CA,1659931876,62,54.7804,-127.1743,61.25,5.46
Meulaboh,95,ID,1659931341,69,4.1363,96.1285,83.52,3.62
Voh,73,NC,1659931877,70,-20.9667,164.7,76.57,6.46
